2461092.138888889,*,m, 07 36 00.58, +40 25 13.5,  375.8222,  -551.900,    n.a.,   n.a.,   15.032,   n.a.,   1.046120704154, 17.0718386,  0.07983900272734, 16.0701346,   42.5794,   95.9,  11.9126,
2461092.145833333,*,m, 07 36 06.09, +40 23 41.9,  374.7819,  -550.435,    n.a.,   n.a.,   15.034,   n.a.,   1.046189169433, 17.0708587,  0.07990344249828, 16.0630847,   42.5568,   95.8,  11.9549,
2461092.152777778,*,m, 07 36 11.57, +40 22 10.4,  373.6997,  -548.983,    n.a.,   n.a.,   15.035,   n.a.,   1.046257630784, 17.0698788,  0.07996785428279, 16.0561840,   42.5343,   95.8,  11.9966,
2461092.159722222,*,m, 07 36 17.03, +40 20 39.3,  372.5764,  -547.545,    n.a.,   n.a.,   15.036,   n.a.,   1.046326088206, 17.0688989,  0.08003223872728, 16.0494565,   42.5119,   95.7,  12.0377,
2461092.166666667,*,m, 07 36 22.48, +40 19 08.3,  371.4129,  -546.123,    n.a.,   n.a.,   15.038,   n.a.,   1.046394541699, 17.0679190,  0.08009659657403, 16.0429258,   42.4895,   95.7,  12.0783,
2461092.173611111,*,m, 07 36 27.91, +40 17 37.6,  370.2101,  -544.717,    n.a.,   n.a.,   15.039,   n.a.,   1.046462991264, 17.0669390,  0.08016092865975, 16.0366154,   42.4673,   95.6,  12.1182,
2461092.180555556,*,m, 07 36 33.32, +40 16 07.2,  368.9691,  -543.330,    n.a.,   n.a.,   15.040,   n.a.,   1.046531436901, 17.0659590,  0.08022523591397, 16.0305482,   42.4451,   95.6,  12.1576,
2461092.187500000,*,m, 07 36 38.70, +40 14 36.9,  367.6911,  -541.961,    n.a.,   n.a.,   15.041,   n.a.,   1.046599878608, 17.0649790,  0.08028951935731, 16.0247467,   42.4230,   95.5,  12.1965,
2461092.194444444,*,m, 07 36 44.07, +40 13 06.9,  366.3771,  -540.612,    n.a.,   n.a.,   15.043,   n.a.,   1.046668316386, 17.0639990,  0.08035378009953, 16.0192328,   42.4010,   95.4,  12.2348,
2461092.201388889,*,m, 07 36 49.41, +40 11 37.1,  365.0285,  -539.283,    n.a.,   n.a.,   15.044,   n.a.,   1.046736750235, 17.0630190,  0.08041801933740, 16.0140279,   42.3791,   95.4,  12.2727,
2461092.208333333,*,m, 07 36 54.74, +40 10 07.5,  363.6466,  -537.977,    n.a.,   n.a.,   15.045,   n.a.,   1.046805180154, 17.0620389,  0.08048223835247, 16.0091530,   42.3572,   95.3,  12.3100,
2461092.215277778,*,m, 07 37 00.04, +40 08 38.2,  362.2328,  -536.694,    n.a.,   n.a.,   15.046,   n.a.,   1.046873606144, 17.0610589,  0.08054643850857, 16.0046281,   42.3355,   95.3,  12.3469,
